"ID","Connectivity","Control","Integration","LocalIntegration","X1","Y1","X2","Y2","Length"
1,77,15.5963,2.11692,7.54608,-1517.21,-3491.74,1250.9,-2957.05,2819.28
11,40,6.44158,1.94528,6.46936,-935.166,-2578.03,-244.83,-3298.85,998.066
16,26,4.44371,2.129,5.86351,-298.974,-3234.55,107.106,-3782.77,682.24
17,38,9.48314,1.86906,6.30492,-1236.34,-3400.37,-2772.68,-3979.05,1641.71
18,18,3.45323,1.75903,5.39719,391.362,-2605.11,685.77,-3082.26,560.675
19,7,1.16594,2.0197,4.93271,-1337.86,-3430.83,-1212.65,-3813.23,402.38
20,17,2.64217,1.77422,5.30048,814.362,-3078.88,469.194,-2588.19,599.935
22,17,4.92545,1.73522,5.2404,611.322,-3119.49,316.914,-2652.48,552.061
26,20,2.92324,1.78035,5.43489,750.066,-3342.84,662.082,-3017.97,336.577
28,5,0.326449,1.89641,4.74927,-285.438,-3312.38,-285.438,-3237.93,74.4503
29,11,1.24922,1.75852,4.80318,753.45,-3180.4,827.898,-3024.73,172.555
34,8,1.38454,1.76299,4.96769,-1314.17,-3464.67,-1419.08,-3031.5,445.687
35,10,1.76827,1.75406,4.88843,-1473.22,-3532.35,-1507.06,-3312.38,222.554
36,13,3.46549,1.75381,4.97585,-1354.78,-3725.24,-1425.85,-3461.28,273.359
37,9,2.01549,1.75381,4.83068,-1249.88,-3454.52,-1327.71,-3149.95,314.357
39,5,0.464303,1.74912,4.53047,-1452.92,-3545.89,-1496.91,-3468.05,89.4063
40,7,1.59883,1.74874,4.57387,-1297.25,-3667.71,-1388.62,-3437.6,247.594
41,4,0.339303,1.74799,4.43298,-1466.45,-3363.15,-1446.15,-3488.36,126.847
42,7,1.76549,1.74761,4.57387,-1361.55,-3528.97,-1398.77,-3376.68,156.768
43,3,0.139303,1.7471,4.36741,-1293.87,-3461.28,-1331.09,-3325.92,140.389
44,5,0.50716,1.74698,4.49781,-1466.45,-3579.73,-1507.06,-3488.36,99.9881
45,33,6.08834,1.75737,6.1301,-48.5581,-3528.97,-363.27,-2584.8,995.234
46,4,0.471811,1.94247,4.40982,-1185.58,-3417.29,-1050.22,-3863.99,466.76
47,2,0.039303,1.74484,4.26316,-1337.86,-3471.44,-1361.55,-3373.3,100.957
48,32,6.17565,1.75635,6.10223,49.5779,-3610.18,-282.054,-2574.65,1087.34
50,10,0.923461,1.75852,4.76654,827.898,-3122.87,756.834,-2987.51,152.884
51,4,0.381674,1.71739,4.14021,831.282,-3058.58,773.754,-2977.36,99.5284
52,3,0.194805,1.7169,4.07566,807.594,-3038.27,838.05,-3092.42,62.1234
55,14,2.62062,1.91137,5.15487,384.594,-3515.43,110.49,-3116.11,484.348
57,15,2.60487,1.73634,5.2272,350.754,-3143.18,208.626,-2655.87,507.614
58,13,2.38335,1.76325,4.88124,909.114,-3214.24,763.602,-3045.04,223.168
63,3,0.182922,1.71629,4.21582,591.018,-3095.8,611.322,-3048.42,51.5449
73,16,2.71362,1.76312,5.14572,289.842,-3129.64,452.274,-3410.52,324.466
75,5,0.511339,1.72313,4.359,-789.654,-3217.63,-813.342,-3403.75,187.627
77,13,2.00584,1.74333,5.02126,-721.974,-3352.99,-1114.52,-2923.21,582.067
78,9,1.18584,1.74648,4.75913,431.97,-2940.13,591.018,-3285.31,380.059
79,7,1.19215,1.73995,4.44233,547.026,-3082.26,655.314,-3315.77,257.391
80,3,0.21491,1.71836,4.1192,-721.974,-3383.45,-732.126,-3329.3,55.0891
83,5,0.542749,1.71399,4.25821,-512.166,-3183.79,-491.862,-3346.22,163.701
85,8,2.45942,1.71253,4.43529,-694.902,-3251.47,-684.75,-3393.6,142.494
86,2,0.137987,1.70855,3.93256,-556.158,-3369.91,-562.926,-3302.23,68.0196
89,5,1.22132,1.70951,4.16365,-11.3341,-3288.69,-45.1741,-3200.71,94.2697
90,12,1.45509,1.73212,4.93979,316.914,-3217.63,249.234,-2946.9,279.06
91,14,2.75221,1.72497,4.91513,-799.806,-3366.53,-576.462,-3153.33,308.765
92,10,1.52251,1.72202,4.73907,-779.502,-3366.53,-1117.9,-2997.66,500.577
93,5,0.853265,1.71897,4.30951,195.09,-3217.63,120.642,-3105.95,134.216
94,8,1.4241,1.72117,4.5776,-1151.74,-3434.21,-1205.89,-3116.11,322.681
95,13,2.97602,1.72215,4.90537,80.0339,-3430.83,-41.7901,-3072.11,378.837
96,8,1.69824,1.72178,4.63884,76.6499,-3295.46,-4.56611,-3072.11,237.659
97,15,2.77336,1.72117,5.03817,391.362,-3129.64,266.154,-2730.32,418.494
98,8,1.17945,1.72202,4.54598,560.562,-3268.39,425.202,-3011.2,290.637
100,5,0.351572,1.71921,4.44163,-305.742,-3065.34,-244.83,-3254.85,199.058
101,14,3.10221,1.7186,4.89181,144.33,-3424.06,66.4979,-3153.33,281.694
103,5,0.866955,1.7169,4.32205,-1114.52,-3424.06,-1185.58,-3085.65,345.791
104,4,0.367688,1.72669,4.19572,733.146,-3001.05,777.138,-3061.96,75.1385
