ID,X,Y,X2,Y2
1,1513,-1887,1457,-1513
2,1469,-1528,1310,-1530
3,1346,-1523,984,-1684
4,1379,-1746,1306,-1497
5,1257,-1772,1494,-1712
6,1271,-1779,1200,-1581
7,1174,-1684,1537,-1588
8,1223,-1898,1269,-1760
9,1032,-1976,946,-1386
10,1442,-2080,1515,-1838
11,1604,-1578,1307,-1644
12,1326,-1546,1165,-1225
13,1466,-1615,1461,-1400
14,1350,-1896,1372,-1692
15,1117,-1979,1120,-1594
16,1261,-1867,988,-1876
17,1353,-1804,1354,-2090
18,1717,-1989,1500,-1871
19,1232,-1856,1202,-2146
20,1359,-1850,1167,-1874
21,1482,-1515,1445,-1532
22,1377,-1702,1170,-1756
23,1385,-2205,1484,-1962
24,1218,-1613,988,-1715
25,1499,-1916,1346,-1923
26,1006,-2177,1027,-1900
27,1633,-1854,1491,-1796
28,1123,-1970,824,-1976
29,1129,-1627,1029,-1427
30,1440,-2054,1565,-1945
31,1653,-1666,1481,-1707
32,1535,-1985,1425,-1960
33,1271,-2058,1236,-1847
34,1150,-1977,988,-1966
35,1222,-2276,1201,-2089
36,1211,-2127,989,-2115
37,1507,-1800,1429,-1810
38,1409,-1681,1331,-1718
39,1419,-1737,1385,-1601
40,1263,-1797,1111,-1795
41,1595,-1637,1477,-1435
42,1199,-1753,973,-1752
43,1528,-2086,1442,-2042
44,1361,-2081,1176,-2127
45,1517,-1996,1722,-1726
46,1461,-2048,1402,-2047
47,1447,-1450,1302,-1515
48,1530,-1732,1486,-1732
49,1500,-1753,1428,-1764
50,1614,-1767,1559,-1564
51,1221,-1586,1140,-1441
52,1407,-2312,1385,-2142
53,1509,-1602,1497,-1435
54,1527,-1635,1473,-1648
55,1406,-2180,1201,-2194
56,823,-2320,1402,-2222
57,1367,-1670,1149,-1715
58,1274,-1562,1227,-1448
59,1061,-1722,1048,-1648
60,1344,-1600,1218,-1644
61,1279,-2046,1128,-1970
62,1411,-1856,1344,-1860
63,1363,-2142,1342,-2012
64,1062,-1692,1030,-1624
65,1583,-1937,1490,-1904
66,1261,-1401,1064,-1509
67,1569,-1428,1454,-1446
68,1461,-2079,1433,-2067
69,1167,-1611,1121,-1521
70,1033,-1905,935,-1918
71,1193,-1598,1149,-1528
72,1297,-1589,1283,-1542
73,1401,-2182,1353,-2107
74,1359,-2012,1254,-2044
75,1321,-1812,1287,-1759
76,1287,-1819,1300,-1755
77,1365,-1921,1296,-1949
78,1471,-1451,1313,-1319
79,1417,-1793,1396,-1729
80,1391,-1800,1406,-1727
81,841,-2343,831,-1956
82,1566,-1607,1857,-1852
83,978,-1425,871,-1431
84,1377,-1363,1257,-1419
85,1337,-1792,1329,-1748
86,1469,-1457,1430,-1452
87,1455,-1463,1541,-1182
88,1069,-1977,1065,-1818
89,1304,-1285,1118,-1427
90,1536,-1604,1528,-1576
91,1506,-1474,1431,-1478
92,1097,-1551,962,-1594
93,1482,-1609,1474,-1488
94,1018,-1834,856,-1868
95,1383,-2196,1499,-2014
96,1335,-1405,1161,-1487
97,1504,-1630,1496,-1594
98,1195,-1714,1184,-1671
99,1245,-1219,1155,-1291
100,1196,-1684,1155,-1670
101,1036,-1574,883,-1609
102,1265,-2082,1198,-2103
103,966,-1488,812,-1534
104,973,-1531,827,-1562
105,1000,-1697,907,-1714
106,1032,-2320,1004,-2144
107,1601,-1588,1590,-1553
108,1298,-1863,1319,-1801
109,1217,-1249,1067,-1338
110,1317,-1859,1283,-1804
111,1175,-1952,1103,-1935
112,1198,-1883,1190,-1824
113,1256,-1841,1205,-1835
114,1175,-1884,1171,-1860
115,1215,-2102,1137,-2084
116,1004,-1722,966,-1728
