ID,X,Y,X2,Y2
1,-1517.21409,-3491.74103,1250.89791,-2957.05279
2,1206.90596,-2960.43689,1437.01794,-2987.50972
3,1362.56991,-2997.66203,1731.42586,-2811.53635
4,939.56991,-2889.37072,1095.23386,-3227.78106
5,804.20993,-3051.80768,1078.31387,-2845.37738
6,1518.23386,-3227.78106,1420.09796,-2750.62249
7,1464.08991,-3126.25796,1372.7219,-2940.13227
8,1288.12188,-2960.43689,983.56186,-3004.43024
9,1118.92194,-2994.27793,1003.86595,-2679.55632
10,1034.32192,-3004.43024,986.94596,-2879.21841
11,-935.16614,-2578.03321,-244.83008,-3298.84723
12,1220.44194,-2781.07942,1602.83388,-2733.70197
13,1379.48989,-2973.97331,1836.32986,-3173.6354
14,959.87388,-2909.67534,1318.57795,-2750.62249
15,1250.89791,-3021.35075,1213.67395,-2957.05279
16,-298.97414,-3234.54926,107.10588,-3782.77392
18,391.36192,-2605.10604,685.76995,-3082.26461
20,814.36192,-3078.88051,469.19395,-2588.18552
21,1508.08187,-3122.87385,1518.23386,-3968.8996
22,611.32191,-3119.48975,316.91389,-2652.48349
23,1521.61786,-3183.78771,1423.48195,-3068.7282
24,1399.79387,-3014.58255,1345.64993,-2770.92711
25,1379.48989,-3065.3441,1399.79387,-2943.51638
26,750.06588,-3342.84048,662.08186,-3017.96665
27,1281.35388,-3105.95334,1196.75386,-2960.43689
29,753.44988,-3180.40361,827.89791,-3024.73486
30,1349.03392,-2879.21841,1335.49794,-3160.09899
31,1751.72995,-3028.11896,1704.35389,-2699.86094
32,1728.04186,-3143.17847,2029.21788,-3197.32413
33,1095.23386,-3204.09233,1020.78593,-3349.60869
38,797.44194,-2960.43689,895.57795,-3116.10565
45,-48.55807,-3528.96617,-363.27007,-2584.80142
48,49.57794,-3610.18465,-282.05405,-2574.64911
49,1047.8579,-3204.09233,1213.67395,-3237.93337
50,827.89791,-3122.87385,756.83387,-2987.50972
51,831.28191,-3058.57589,773.75396,-2977.35741
52,807.59393,-3038.27127,838.0499,-3092.41692
53,973.40987,-3017.96665,922.64992,-2953.66869
54,895.57795,-3031.50306,841.4339,-2936.74817
55,384.59393,-3515.42975,110.48988,-3116.10565
56,1582.5299,-2899.52303,1562.22592,-2699.86094
57,350.75396,-3143.17847,208.62589,-2655.86759
58,909.11394,-3214.24464,763.60187,-3045.03948
59,1667.12992,-3177.01951,1335.49794,-3170.2513
60,1555.45793,-3180.40361,1616.36987,-2902.90714
61,1799.1059,-3275.15842,1826.17787,-3149.94668
62,1778.80192,-3278.54261,1795.7219,-3149.94668
63,591.01793,-3095.80103,611.32191,-3048.42358
64,1457.32192,-3017.96665,1477.6259,-2990.89382
65,1291.50587,-2997.66203,1145.99391,-2666.0199
66,157.86594,-1799.68945,973.40987,-2953.66869
67,1426.86595,-3153.33078,1156.1459,-3234.54926
68,1298.27387,-2984.12562,1298.27387,-2882.60252
69,320.29788,-2682.94042,939.56991,-2310.68905
70,1288.12188,-2919.82765,1481.0099,-2879.21841
71,1629.90596,-3187.17182,1619.75386,-3072.1123
73,289.84192,-3129.64206,452.27386,-3410.52255
76,773.75396,-3109.33744,976.79387,-3004.43024
