ID,Area_Name,Gate_No,Axial_Map,LineID,X,Y,mov_veh_ph,landuse,trafmanage,streettype,avebuildheight,maxbuildheight,diff_max_avbheight,street_width,pavement_width,gross_veh_road_width,parking_width,effective_road_width
1,Barnsbury,1,Barnsbury,3,1017.248,-1669.215,606,residential,twoway,primary,3,4,1,16,4,12,4.5,7.5
2,Barnsbury,2,Barnsbury,3,1084.5,-1639.305,589,residential,twoway,primary,3,4,1,16,4,12,4.5,7.5
3,Barnsbury,3,Barnsbury,3,1144.725,-1612.515,892,residential,twoway,primary,3,4,1,16,4,12,3.5,8.5
4,Barnsbury,6,Barnsbury,3,1209.915,-1583.525,759,residential,twoway,primary,5,5,0,12,4,8,0,8
5,Barnsbury,7,Barnsbury,3,1244.63,-1568.085,652,school,twoway,primary,4,5,1,12,4,8,1.8,6.2
6,Barnsbury,8,Barnsbury,3,1278.47,-1553.03,673,residential,twoway,primary,4,4,0,12,4,8,1.8,6.2
7,Barnsbury,9,Barnsbury,3,1301.365,-1542.85,675,residential,twoway,primary,3,3,0,12,4,8,0,8
8,Barnsbury,11,Barnsbury,24,1088.845,-1670.28,59,residential,twoway,local,4,4,0,14,5,9,4.5,4.5
9,Barnsbury,14,Barnsbury,7,1208.98,-1674.75,53,residential,twoway,local,3,4,1,11,3.5,7.5,3.5,4
10,Barnsbury,15,Barnsbury,7,1289.43,-1653.475,414,residential,twoway,local,3,4,1,11,3,8,3.5,4.5
11,Barnsbury,16,Barnsbury,57,1173.13,-1710.02,49,mixed,twoway,local,3,4,1,9,2,7,3.5,3.5
12,Barnsbury,17,Barnsbury,57,1217.08,-1700.945,18,residential,twoway,local,3,4,1,10,3.5,6.5,3.5,3
13,Barnsbury,22,Barnsbury,42,1138.755,-1752.735,249,residential,twoway,local,3,3,0,13,4,9,3.5,5.5
14,Barnsbury,23,Barnsbury,42,1170.125,-1752.87,217,residential,twoway,local,3,3,0,13,4,9,3.5,5.5
15,Barnsbury,24,Barnsbury,22,1202.42,-1747.54,232,residential,twoway,local,4,4,0,13,4,9,3.5,5.5
16,Barnsbury,25,Barnsbury,22,1238.935,-1738.015,233,school,twoway,local,4,4,0,12,4,8,3.5,4.5
17,Barnsbury,26,Barnsbury,22,1302.28,-1721.49,189,residential,twoway,local,3,4,1,11.5,4,7.5,3.5,4
18,Barnsbury,28,Barnsbury,5,1278.755,-1766.49,98,residential,twoway,local,4,4,0,14,4.5,9.5,4.5,5
19,Barnsbury,38,Barnsbury,16,1092.115,-1872.57,114,residential,twoway,local,3,4,1,15,5,10,3.5,6.5
20,Barnsbury,39,Barnsbury,16,1135.635,-1871.135,113,residential,twoway,local,3,4,1,15,5,10,3.5,6.5
21,Barnsbury,40,Barnsbury,16,1163.04,-1870.23,112,residential,twoway,local,3,3,0,15,5.5,9.5,3.5,6
22,Barnsbury,41,Barnsbury,16,1184.385,-1869.525,77,residential,twoway,local,3,3,0,15,5.5,9.5,3.5,6
23,Barnsbury,42,Barnsbury,16,1202.755,-1868.92,76,residential,twoway,local,3,4,1,16,6.5,9.5,3.5,6
24,Barnsbury,42,Barnsbury,20,1220.18,-1867.35,76,residential,twoway,local,3,4,1,16,6.5,9.5,3.5,6
25,Barnsbury,47,Barnsbury,160,1258.41,-1929.07,60,residential,twoway,local,3,4,1,18,10,8,3.5,4.5
26,Barnsbury,48,Barnsbury,188,1287.76,-1926.525,35,residential,twoway,local,3,4,1,14,5,9,4.5,4.5
27,Barnsbury,49,Barnsbury,143,1322.815,-1926.37,26,residential,twoway,local,3,4,1,12,4,8,4.5,3.5
28,Barnsbury,51,Barnsbury,160,1286.29,-1938.89,40,residential,twoway,local,3,4,1,14,5,9,4.5,4.5
29,Barnsbury,52,Barnsbury,77,1321.835,-1938.515,27,residential,twoway,local,3,4,1,12,4,8,4.5,3.5
30,Barnsbury,58,Barnsbury,34,1047.62,-1970.05,980,residential,twoway,primary,4,6,2,16,6,10,0,10
31,Barnsbury,59,Barnsbury,34,1092.945,-1973.125,917,residential,twoway,primary,4,8,4,16,7,9,0,9
32,Barnsbury,61,Barnsbury,61,1152.94,-1982.55,1037,residential,twoway,primary,8,8,0,14,4.5,9.5,0,9.5
33,Barnsbury,62,Barnsbury,61,1190.435,-2001.425,1000,residential,twoway,primary,5,5,0,16,6,10,0,10
34,Barnsbury,63,Barnsbury,61,1241.37,-2027.06,459,mixed,twoway,primary,3,3,0,15,6,9,1.8,7.2
35,Barnsbury,66,Barnsbury,9,990.3315,-1690.135,1120,retail,twoway,primary,3,4,1,22,11.5,10.5,3.5,7
36,Barnsbury,67,Barnsbury,9,997.2725,-1737.755,1093,retail,twoway,primary,3,4,1,22,11.5,10.5,3.5,7
37,Barnsbury,68,Barnsbury,9,1009.045,-1818.52,1047,retail,twoway,primary,3,4,1,22,11.5,10.5,3.5,7
38,Barnsbury,69,Barnsbury,9,1014.39,-1855.195,965,retail,twoway,primary,3,4,1,21,10.5,10.5,3.5,7
39,Barnsbury,70,Barnsbury,9,1019.575,-1890.755,960,residential,twoway,primary,1,3,2,17,6.5,10.5,0,10.5
40,Barnsbury,71,Barnsbury,9,1023.395,-1916.955,948,residential,twoway,primary,3,11,8,17,7,10,0,10
41,Barnsbury,73,Barnsbury,59,1056.72,-1697.65,46,residential,twoway,local,3,4,1,13,4,9,3.5,5.5
42,Barnsbury,74,Barnsbury,165,1046.59,-1727.545,26,residential,twoway,local,4,4,0,13,4,9,3.5,5.5
43,Barnsbury,75,Barnsbury,164,1069.615,-1724.94,22,residential,twoway,local,4,4,0,13,4,9,3.5,5.5
44,Barnsbury,76,Barnsbury,220,1041.225,-1788.065,29,residential,twoway,local,4,4,0,13,4,9,3.5,5.5
45,Barnsbury,77,Barnsbury,221,1079.395,-1787.38,28,residential,twoway,local,4,4,0,13,4,9,3.5,5.5
46,Barnsbury,78,Barnsbury,88,1065.76,-1848.195,69,residential,twoway,local,4,4,0,14,4.5,9.5,3.5,6
47,Barnsbury,79,Barnsbury,88,1067.235,-1906.89,80,school,twoway,local,2,3,1,15.5,5.5,10,3.5,6.5
48,Barnsbury,80,Barnsbury,88,1068.465,-1955.725,79,residential,twoway,local,2,3,1,15.5,5.5,10,3.5,6.5
49,Barnsbury,81,Barnsbury,15,1119.64,-1640.15,466,retail,twoway,secondary,3,3,0,18,5,13,5.5,7.5
50,Barnsbury,82,Barnsbury,15,1119.135,-1704.665,410,residential,twoway,secondary,3,3,0,18,5,13,5.5,7.5
51,Barnsbury,83,Barnsbury,15,1118.595,-1773.875,524,residential,twoway,secondary,3,3,0,18,5,13,5.5,7.5
52,Barnsbury,84,Barnsbury,15,1118.135,-1833.41,543,residential,twoway,secondary,3,3,0,18,5,13,5.5,7.5
53,Barnsbury,85,Barnsbury,15,1117.585,-1904.085,447,school,twoway,secondary,2,3,1,18,5,13,5.5,7.5
54,Barnsbury,88,Barnsbury,144,1156.035,-1733.465,42,residential,twoway,local,2,3,1,10,3.5,6.5,1.8,4.8
55,Barnsbury,91,Barnsbury,98,1189.72,-1693.34,54,mixed,twoway,local,2,4,2,10.5,3,7.5,3.5,4
56,Barnsbury,94,Barnsbury,140,1156.495,-1849.775,15,residential,twoway,local,3,3,0,12,4.5,7.5,3.5,4
57,Barnsbury,96,Barnsbury,112,1193.4,-1849.07,14,residential,twoway,local,3,3,0,12,4.5,7.5,3.5,4
58,Barnsbury,100,Barnsbury,6,1207.255,-1601.24,322,residential,twoway,secondary,4,5,1,12,4.5,7.5,3.5,4
59,Barnsbury,101,Barnsbury,6,1217.225,-1629.04,330,residential,twoway,secondary,4,5,1,12,4.5,7.5,3.5,4
60,Barnsbury,102,Barnsbury,6,1226.78,-1655.69,371,residential,twoway,secondary,3,3,0,14,4,10,3.5,6.5
61,Barnsbury,103,Barnsbury,6,1236.35,-1682.38,435,residential,twoway,secondary,3,3,0,14,4,10,3.5,6.5
62,Barnsbury,104,Barnsbury,6,1248.02,-1714.915,489,residential,twoway,secondary,2,3,1,14,4,10,3.5,6.5
63,Barnsbury,105,Barnsbury,6,1260.75,-1750.415,419,school,twoway,secondary,2,4,2,13.5,5,8.5,1.8,6.8
64,Barnsbury,106,Barnsbury,8,1261.215,-1783.355,422,residential,twoway,secondary,2,4,2,9.5,3,6.5,0,6.5
65,Barnsbury,107,Barnsbury,8,1249.61,-1818.17,426,residential,twoway,secondary,2,2,0,9.5,3,6.5,0,6.5
66,Barnsbury,108,Barnsbury,8,1239.93,-1847.215,426,residential,twoway,secondary,3,3,0,10,3,7,0,7
67,Barnsbury,109,Barnsbury,19,1224.295,-1930.49,415,residential,twoway,secondary,3,3,0,18,6.5,11.5,3.5,8
68,Barnsbury,112,Barnsbury,33,1257.445,-1976.285,86,residential,twoway,local,3,4,1,18,7.5,10.5,5.5,5
69,Barnsbury,114,Barnsbury,76,1297.475,-1767.44,46,residential,twoway,local,4,4,0,16,5.5,10.5,4.5,6
70,Barnsbury,117,Barnsbury,110,1296.54,-1825.905,20,residential,twoway,local,4,4,0,12,4.5,7.5,3.5,4
71,Barnsbury,118,Barnsbury,108,1311.425,-1823.36,18,residential,twoway,local,4,4,0,12,4.5,7.5,3.5,4
72,Barnsbury,119,Barnsbury,110,1310.225,-1848.04,0,residential,twoway,local,3,4,1,16,6,10,4.5,5.5
73,Barnsbury,126,Barnsbury,4,1327.14,-1569.105,1591,residential,twoway,primary,4,5,1,20,5.5,14.5,3.5,11
74,Barnsbury,127,Barnsbury,4,1341.72,-1618.845,1564,residential,twoway,primary,4,4,0,22,7,15,3.5,11.5
75,Barnsbury,128,Barnsbury,4,1352.345,-1655.075,1260,residential,twoway,primary,3,4,1,21,7,14,1.8,12.2
76,Barnsbury,129,Barnsbury,4,1361.62,-1686.715,1262,residential,twoway,primary,4,4,0,19,6,13,1.8,11.2
77,Barnsbury,130,Barnsbury,14,1367.995,-1729.165,1391,residential,twoway,primary,4,4,0,19,7.5,11.5,1.8,9.8
78,Barnsbury,131,Barnsbury,14,1363.895,-1767.15,1139,mixed,twoway,primary,2,4,2,14.5,4.5,10,1.8,8.2
79,Barnsbury,132,Barnsbury,14,1358.17,-1820.25,1139,residential,twoway,primary,3,3,0,14.5,4.5,10,1.8,8.2
80,Barnsbury,133,Barnsbury,17,1353.315,-1894.415,1158,residential,twoway,primary,3,4,1,18,6,12,1.8,10.2
81,Barnsbury,134,Barnsbury,17,1353.575,-1969.08,1621,residential,twoway,primary,3,4,1,19,6,13,1.8,11.2
82,Barnsbury,135,Barnsbury,17,1353.42,-1924.18,1620,residential,twoway,primary,3,4,1,19,7,12,0,12
83,Calthorpe,1,Clerkenwell,244,1019.65,-2474.42,1028,retail,twoway,primary,3,7,4,22.5,10,12.5,0,12.5
84,Calthorpe,2,Clerkenwell,1148,1041.93,-2473.33,167,residential,twoway,local,3,3,0,12.5,5,7.5,1.8,5.8
85,Calthorpe,3,Clerkenwell,1148,1078.89,-2458.35,319,residential,twoway,local,3,3,0,12.5,5,7.5,1.8,5.8
86,Calthorpe,4,Clerkenwell,2421,1067.05,-2481.29,156,residential,twoway,local,3,3,0,12,4.5,7.5,3.5,4
87,Calthorpe,8,Clerkenwell,244,1030.91,-2494.49,1019,retail,twoway,primary,3,7,4,22.5,11.5,11,0,11
88,Calthorpe,9,Clerkenwell,972,1010.08,-2517.26,913,residential,twoway,secondary,6,7,1,15,6,9,1.8,7.2
89,Calthorpe,10,Clerkenwell,244,1046.25,-2521.83,1243,mixed,twoway,primary,6,6,0,22.5,10.5,12,0,12
90,Calthorpe,11,Clerkenwell,1166,1040.93,-2541.49,126,residential,twoway,local,4,4,0,12,5,7,1.8,5.2
91,Calthorpe,12,Clerkenwell,244,1070.09,-2564.3,1187,hospital,twoway,primary,4,5,1,21,8.5,12.5,1.8,10.8
92,Calthorpe,13,Clerkenwell,1161,1120.13,-2609.54,280,residential,twoway,local,0,4,4,12.5,4.5,8,1.8,6.2
93,Calthorpe,14,Clerkenwell,1161,1142.91,-2589.17,250,residential,twoway,local,2,6,4,12.5,4.5,8,1.8,6.2
94,Calthorpe,16,Clerkenwell,168,1165.73,-2603.35,965,residential,twoway,secondary,3,3,0,13,5,8,0,8
95,Calthorpe,18,Clerkenwell,168,1139.8,-2636.19,894,residential,twoway,secondary,4,4,0,15,6,9,1.8,7.2
96,Calthorpe,19,Clerkenwell,204,1114.21,-2638.34,1021,retail,twoway,primary,4,4,0,19,6.5,12.5,0,12.5
97,Calthorpe,20,Clerkenwell,135,1107.27,-2660.08,1080,residential,twoway,secondary,4,4,0,15,6,9,1.8,7.2
98,Calthorpe,21,Clerkenwell,204,1134.7,-2671.49,1069,retail,twoway,primary,4,7,3,20,7.5,12.5,0,12.5
99,Calthorpe,25,Clerkenwell,307,1195.04,-2525.09,1502,retail,twoway,primary,4,9,5,17,7,10,0,10
100,Calthorpe,26,Clerkenwell,168,1199.64,-2560.39,1050,commercial,twoway,secondary,0,9,9,17,6,11,1.8,9.2
101,Calthorpe,28,Clerkenwell,960,1166.47,-2556.15,161,industrial,twoway,local,2,4,2,14,5,9,3.5,5.5
102,Calthorpe,30,Clerkenwell,1774,1145.44,-2526.08,112,industrial,twoway,local,1,1,0,14,7.5,6.5,1.8,4.8
103,Calthorpe,33,Clerkenwell,2025,1115.91,-2497.74,134,residential,twoway,local,2,3,1,13,6.5,6.5,1.8,4.8
104,Calthorpe,35,Clerkenwell,2025,1112.03,-2488.05,133,residential,twoway,local,3,3,0,14,7.5,6.5,1.8,4.8
105,Calthorpe,36,Clerkenwell,2025,1103.96,-2467.88,150,residential,twoway,local,3,3,0,14,6,8,3.5,4.5
106,Calthorpe,37,Clerkenwell,1148,1111.1,-2445.29,394,residential,twoway,local,3,3,0,12.5,5.5,7,0,7
107,Calthorpe,38,Clerkenwell,411,1123.45,-2429.01,1536,retail,twoway,primary,3,4,1,17.5,7.5,10,0,10
108,Calthorpe,39,Clerkenwell,411,1127.15,-2454.07,1543,mixed,twoway,primary,3,6,3,16,6,10,0,10
109,Calthorpe,40,Clerkenwell,1247,1150.04,-2463.78,125,residential,twoway,local,3,3,0,15,5.5,9.5,3.5,6
110,Calthorpe,41,Clerkenwell,307,1157.4,-2492.7,1439,residential,twoway,primary,3,3,0,16,6,10,0,10
111,Calthorpe,42,Clerkenwell,148,1294.91,-2629.13,1540,retail,twoway,primary,4,6,2,16.5,6.5,10,0,10
112,Calthorpe,44,Clerkenwell,137,1292.99,-2607.68,1458,retail,twoway,primary,4,4,0,18,7,11,0,11
113,Calthorpe,45,Clerkenwell,148,1248,-2577.95,1535,commercial,twoway,primary,3,6,3,19,6.5,12.5,0,12.5
114,Calthorpe,46,Clerkenwell,137,1269.13,-2700.64,793,commercial,twoway,primary,4,4,0,19,8,11,3.5,7.5
115,Calthorpe,48,Clerkenwell,146,1243.15,-2762.08,760,residential,twoway,primary,6,6,0,17,6,11,1.8,9.2
116,Calthorpe,49,Clerkenwell,14,1233.37,-2788.41,2132,mixed,twoway,primary,6,8,2,27,11,16,0,16
117,Calthorpe,50,Clerkenwell,65,1214.94,-2823.15,1232,commercial,twoway,primary,5,8,3,19,7,12,0,12
118,Calthorpe,51,Clerkenwell,14,1196.09,-2804.93,1921,mixed,twoway,primary,5,5,0,20,7,13,0,13
119,Calthorpe,52,Clerkenwell,65,1189.42,-2765,1247,retail,twoway,primary,4,6,2,19,6.5,12.5,0,12.5
120,Calthorpe,54,Clerkenwell,204,1167.62,-2724.77,1208,mixed,twoway,primary,4,6,2,17.5,6.5,11,0,11
121,Calthorpe,55,Clerkenwell,586,1170.58,-2677.95,80,commercial,twoway,local,8,10,2,15,7.5,7.5,3.5,4
122,Calthorpe,57,Clerkenwell,267,1191.42,-2721.14,227,commercial,twoway,local,6,10,4,13.5,5,8.5,1.8,6.8
123,Calthorpe,59,Clerkenwell,467,1227.76,-2693.57,269,residential,twoway,local,0,4,4,19,11.5,7.5,1.8,5.8
124,Calthorpe,61,Clerkenwell,936,1269.95,-2686.62,358,commercial,twoway,local,4,6,2,13,6,7,1.8,5.2
125,Calthorpe,62,Clerkenwell,467,1258,-2656.16,244,retail,twoway,local,6,7,1,16,5,11,3.5,7.5
126,SKMuseum,1,Kensington,390,-1053.54,-3869.87,709,mixed,twoway,secondary,5,12,7,18.5,6.5,12,3.5,8.5
127,SKMuseum,2,Kensington,212,-979.615,-3842.09,2174,residential,twoway,primary,7,12,5,27,10.5,16.5,0,16.5
128,SKMuseum,3,Kensington,542,-910.669,-3851.87,2022,college,twoway,primary,5,8,3,29,12,17,0,17
129,SKMuseum,4,Kensington,1130,-750.075,-3795.02,2032,park,twoway,secondary,0,0,0,22.5,7.5,15,0,15
130,SKMuseum,5,Kensington,1338,-676.898,-3809.62,936,park,twoway,local,0,0,0,24,11,13,3.5,9.5
131,SKMuseum,6,Kensington,542,-629.518,-3839.25,1842,residential,twoway,primary,6,8,2,18,5,13,0,13
132,SKMuseum,7,Kensington,1185,-592.444,-3882.69,242,residential,twoway,local,5,12,7,15.5,5,10.5,3.5,7
133,SKMuseum,9,Kensington,1185,-583.061,-3934.29,133,residential,twoway,local,5,6,1,15.5,5,10.5,3.5,7
134,SKMuseum,10,Kensington,3029,-599.379,-3961.09,66,residential,twoway,local,6,6,0,12,4.5,7.5,3.5,4
135,SKMuseum,11,Kensington,2966,-567.863,-3979.36,58,residential,twoway,local,2,5,3,8,2,6,1.8,4.2
136,SKMuseum,13,Kensington,729,-554.297,-4068.15,3887,retail,twoway,primary,4,5,1,31,11.5,19.5,0,19.5
137,SKMuseum,14,Kensington,2091,-553.412,-4173.23,556,residential,twoway,primary,4,4,0,14.5,4.5,10,1.8,8.2
138,SKMuseum,17,Kensington,2160,-613.128,-4115.92,2822,retail,twoway,primary,6,6,0,30,11,19,0,19
139,SKMuseum,19,Kensington,1220,-674.165,-4131.61,2471,museum,twoway,primary,6,6,0,34,15,19,0,19
140,SKMuseum,20,Kensington,2160,-685.784,-4159.96,486,commercial,twoway,primary,4,5,1,13,5,8,0,8
141,SKMuseum,23,Kensington,3325,-680.568,-4236.53,1030,residential,twoway,local,3,7,4,12.5,4.5,8,1.8,6.2
142,SKMuseum,24,Kensington,2263,-765.188,-4265.25,894,retail,twoway,primary,5,6,1,14,5,9,0,9
143,SKMuseum,26,Kensington,3993,-812.464,-4262.94,26,residential,twoway,local,4,6,2,7,0,7,3.5,3.5
144,SKMuseum,27,Kensington,2152,-815.118,-4233.61,781,mixed,twoway,secondary,5,6,1,20,8,12,3.5,8.5
145,SKMuseum,28,Kensington,988,-866.04,-4271.18,995,residential,twoway,secondary,5,5,0,31.5,9.5,22,7,15
146,SKMuseum,29,Kensington,2263,-875.468,-4353.15,919,retail,twoway,primary,3,5,2,16.5,6.5,10,0,10
147,SKMuseum,30,Kensington,4178,-900.63,-4321.78,40,residential,twoway,local,3,6,3,10.5,3.5,7,3.5,3.5
148,SKMuseum,32,Kensington,1127,-940.878,-4317.78,535,mixed,twoway,secondary,3,5,2,12,4.5,7.5,0,7.5
149,SKMuseum,33,Kensington,2152,-920.273,-4256.52,596,residential,twoway,secondary,5,5,0,18.5,6.5,12,3.5,8.5
150,SKMuseum,35,Kensington,1220,-955.202,-4174.28,3110,residential,twoway,primary,5,5,0,24,8.5,15.5,0,15.5
151,SKMuseum,36,Kensington,390,-1018.91,-4156.77,953,mixed,twoway,secondary,5,5,0,20,7,13,1.8,11.2
152,SKMuseum,40,Kensington,5574,-977.429,-4021.35,7,residential,twoway,local,2,3,1,9,0,9,3.5,5.5
153,SKMuseum,41,Kensington,390,-1039.13,-3989.3,686,retail,twoway,secondary,3,5,2,15,7.5,7.5,0,7.5
154,SKMuseum,42,Kensington,1765,-1033.99,-3970.71,13,residential,twoway,local,4,4,0,4.5,0,4.5,0,4.5
155,SKMuseum,46,Kensington,542,-782.879,-3846.13,1867,residential,twoway,primary,9,9,0,20,8,12,0,12
156,SKMuseum,48,Kensington,4378,-796.222,-3877.73,17,residential,twoway,local,7,8,1,11,4,7,3.5,3.5
157,SKMuseum,49,Kensington,3913,-798.577,-3907.29,90,residential,twoway,local,7,8,1,17,5,12,3.5,8.5
158,SKMuseum,51,Kensington,2800,-880.765,-3909.34,37,residential,twoway,local,7,8,1,12,4.5,7.5,3.5,4
159,SKMuseum,52,Kensington,1117,-897.552,-3889.37,17,college,twoway,local,4,8,4,9,0,9,1.8,7.2
160,SKMuseum,53,Kensington,988,-922.655,-3891.38,904,residential,twoway,secondary,5,6,1,30.5,11.5,19,7,12
161,SKMuseum,54,Kensington,2404,-897.264,-3943.41,662,mixed,twoway,secondary,6,8,2,23,8,15,3.5,11.5
162,SKMuseum,56,Kensington,2404,-755.459,-3919.77,750,college,twoway,local,6,8,2,24.5,8,16.5,4.2,12.2
163,SKMuseum,57,Kensington,1130,-736.441,-3888.41,1886,residential,twoway,secondary,6,8,2,24.5,8.5,16,3.5,12.5
164,SKMuseum,58,Kensington,2904,-696.416,-3930.8,221,residential,twoway,local,5,6,1,15.5,6.5,9,3.5,5.5
165,SKMuseum,80,Kensington,1130,-698.131,-4150.84,980,mixed,twoway,secondary,2,4,2,26,9,17,3.5,13.5
166,SKMuseum,81,Kensington,1130,-708.693,-4078.49,1537,museum,twoway,secondary,6,6,0,25,8.5,16.5,5.2,11.2
167,SKMuseum,82,Kensington,1220,-725.071,-4139.34,2530,museum,twoway,primary,6,7,1,25.5,8,17.5,0,17.5
168,SKMuseum,83,Kensington,2595,-746.126,-4168.7,126,residential,twoway,local,5,5,0,18,6,12,3.5,8.5
169,SKMuseum,85,Kensington,1220,-857.647,-4159.47,3114,museum,twoway,primary,6,7,1,25,7,18,0,18
170,SKMuseum,86,Kensington,988,-888.168,-4122.74,1416,residential,twoway,secondary,6,6,0,31,10.5,20.5,7,13.5
171,SKMuseum,87,Kensington,1446,-910.457,-4085.12,122,residential,twoway,local,6,8,2,22,7,15,5.2,9.8
172,SKMuseum,88,Kensington,1443,-917.164,-4029.07,240,residential,twoway,local,5,5,0,18.5,6.5,12,3.5,8.5
173,SKMuseum,89,Kensington,1447,-920.414,-3986.84,296,residential,twoway,local,5,6,1,24.5,9,15.5,5.2,10.2
174,Brompton,101,Kensington,729,-351.815,-3890.56,2573,retail,twoway,primary,6,21,15,27.5,9,18.5,0,18.5
175,Brompton,103,Kensington,2015,-302.199,-3897.56,133,residential,twoway,local,6,6,0,13,5.5,7.5,3.5,4
176,Brompton,104,Kensington,539,-266.394,-3876.76,1034,retail,twoway,primary,7,8,1,19.5,9.5,10,0,10
177,Brompton,106,Kensington,2017,-289.925,-3965.67,384,residential,twoway,local,5,5,0,12,6,6,0,6
178,Brompton,108,Kensington,729,-429.928,-3959.07,2778,retail,twoway,primary,5,7,2,29.5,10.5,19,0,19
179,Brompton,110,Kensington,4180,-325.899,-4006.36,167,residential,twoway,local,5,5,0,12,5,7,1.8,5.2
180,Brompton,112,Kensington,2016,-269.563,-4044.91,324,residential,twoway,local,4,5,1,8.5,3.2,5.3,1.8,3.5
181,Brompton,113,Kensington,1914,-334.071,-4080.35,1661,residential,twoway,secondary,5,5,0,21.5,7.5,14,3.5,10.5
182,Brompton,114,Kensington,4121,-369.346,-4049.99,430,residential,twoway,local,4,5,1,15,5,10,3.5,6.5
183,Brompton,115,Kensington,2233,-432.611,-4038.17,791,retail,twoway,secondary,3,3,0,14,5,9,1.8,7.2
184,Brompton,116,Kensington,539,-192.969,-4238.1,1055,retail,twoway,primary,4,6,2,22,11,11,0,11
185,Brompton,117,Kensington,1570,-221.186,-4289.75,749,retail,twoway,local,4,5,1,13.5,4.9,8.6,1.8,6.8
186,Brompton,118,Kensington,3515,-220.971,-4238.94,178,residential,twoway,local,2,3,1,9,0,9,3.5,5.5
187,Brompton,119,Kensington,3463,-247.293,-4279.13,126,residential,twoway,local,4,5,1,14,5,9,3.5,5.5
188,Brompton,120,Kensington,3169,-271.424,-4262.99,497,residential,twoway,local,5,5,0,15,5,10,3.5,6.5
189,Brompton,121,Kensington,3771,-240.888,-4249.19,66,residential,twoway,local,5,5,0,14,5,9,3.5,5.5
190,Brompton,122,Kensington,2004,-234.657,-4225.24,224,residential,twoway,local,5,5,0,14,5,9,1.8,7.2
191,Brompton,124,Kensington,3515,-242.176,-4130.47,44,residential,twoway,local,2,3,1,10,0,10,3.5,6.5
192,Brompton,125,Kensington,539,-215.747,-4126.01,878,residential,twoway,primary,6,7,1,18,6,12,0,12
193,Brompton,128,Kensington,5662,-315.801,-4113.42,18,residential,twoway,local,6,6,0,9.5,3.5,6,1.8,4.2
194,Brompton,130,Kensington,5622,-304.694,-4173.9,206,residential,twoway,local,6,6,0,15,7.5,7.5,3.5,4
195,Brompton,131,Kensington,729,-505.331,-4025.21,3719,retail,twoway,primary,5,7,2,31,11,20,0,20
196,Brompton,132,Kensington,2279,-474.139,-4037.38,362,residential,twoway,local,5,5,0,12,5,7,1.8,5.2
197,Brompton,133,Kensington,4171,-506.223,-4070.24,56,residential,twoway,local,2,4,2,9,1,8,3.5,4.5
198,Brompton,134,Kensington,2251,-511.768,-4093.16,131,residential,twoway,local,5,5,0,14,5.5,8.5,3.5,5
199,Brompton,135,Kensington,5858,-533.995,-4144.96,66,residential,twoway,local,5,5,0,14,5.4,8.6,3.5,5.1
200,Brompton,136,Kensington,3760,-517.996,-4135.43,136,residential,twoway,local,4,5,1,15.5,5.5,10,3.5,6.5
