"Gate_No","LineID","CentX","CentY"
1,3,1017.25,-1669.21
2,3,1084.5,-1639.3
3,3,1144.72,-1612.52
6,3,1209.92,-1583.52
7,3,1244.63,-1568.09
8,3,1278.47,-1553.03
9,3,1301.36,-1542.85
11,24,1088.84,-1670.28
14,7,1208.98,-1674.75
15,7,1289.43,-1653.47
16,57,1173.13,-1710.02
17,57,1217.08,-1700.95
22,42,1138.76,-1752.73
23,42,1170.13,-1752.87
24,22,1202.42,-1747.54
25,22,1238.93,-1738.02
26,22,1302.28,-1721.49
28,5,1278.76,-1766.49
38,16,1092.12,-1872.57
39,16,1135.63,-1871.13
40,16,1163.04,-1870.23
41,16,1184.39,-1869.53
42,20,1220.18,-1867.35
42,16,1202.75,-1868.92
47,160,1258.41,-1929.07
48,188,1287.76,-1926.53
49,143,1322.82,-1926.37
51,160,1286.29,-1938.89
52,77,1321.84,-1938.52
58,34,1047.62,-1970.05
59,34,1092.95,-1973.13
61,61,1152.94,-1982.55
62,61,1190.44,-2001.42
63,61,1241.37,-2027.06
66,9,990.332,-1690.14
67,9,997.273,-1737.75
68,9,1009.05,-1818.52
69,9,1014.39,-1855.2
70,9,1019.57,-1890.76
71,9,1023.39,-1916.95
73,59,1056.72,-1697.65
74,165,1046.59,-1727.55
75,164,1069.61,-1724.94
76,220,1041.22,-1788.06
77,221,1079.39,-1787.38
78,88,1065.76,-1848.19
79,88,1067.24,-1906.89
80,88,1068.46,-1955.72
81,15,1119.64,-1640.15
82,15,1119.14,-1704.66
83,15,1118.6,-1773.87
84,15,1118.13,-1833.41
85,15,1117.58,-1904.08
88,144,1156.04,-1733.46
91,98,1189.72,-1693.34
94,140,1156.49,-1849.77
96,112,1193.4,-1849.07
100,6,1207.26,-1601.24
101,6,1217.22,-1629.04
102,6,1226.78,-1655.69
103,6,1236.35,-1682.38
104,6,1248.02,-1714.92
105,6,1260.75,-1750.41
106,8,1261.22,-1783.35
107,8,1249.61,-1818.17
108,8,1239.93,-1847.21
109,19,1224.29,-1930.49
112,33,1257.45,-1976.28
114,76,1297.47,-1767.44
117,110,1296.54,-1825.91
118,108,1311.43,-1823.36
119,110,1310.22,-1848.04
126,4,1327.14,-1569.11
127,4,1341.72,-1618.84
128,4,1352.34,-1655.07
129,4,1361.62,-1686.72
130,14,1367.99,-1729.17
131,14,1363.9,-1767.15
132,14,1358.17,-1820.25
133,17,1353.32,-1894.41
134,17,1353.58,-1969.08
135,17,1353.42,-1924.18
