"Gate_No","LineID","CentX","CentY"
1,390,-1053.54,-3869.87
2,212,-979.615,-3842.09
3,542,-910.669,-3851.87
4,1130,-750.075,-3795.02
5,1338,-676.898,-3809.62
6,542,-629.518,-3839.25
7,1185,-592.444,-3882.69
9,1185,-583.061,-3934.29
10,3029,-599.379,-3961.09
11,2966,-567.863,-3979.36
12,2275,-580.986,-4030.16
13,729,-554.297,-4068.15
14,2091,-553.412,-4173.23
15,3731,-587.684,-4204.42
16,3980,-599.651,-4175.41
17,2160,-613.128,-4115.92
18,2166,-630.317,-4163.98
19,1220,-674.165,-4131.61
20,2160,-685.784,-4159.96
21,2152,-673.406,-4202.75
22,3479,-651.518,-4211.77
23,3325,-680.568,-4236.53
24,2263,-765.188,-4265.25
25,3343,-785.888,-4250.31
26,3993,-812.464,-4262.94
27,2152,-815.118,-4233.61
28,988,-866.04,-4271.18
29,2263,-875.468,-4353.15
30,4178,-900.63,-4321.78
31,2899,-934.881,-4294.96
32,1127,-940.878,-4317.78
33,2152,-920.273,-4256.52
34,2872,-920.344,-4212.45
35,1220,-955.202,-4174.28
36,390,-1018.91,-4156.77
37,1760,-986.836,-4134.94
38,3070,-955.183,-4111.5
40,5574,-977.429,-4021.35
41,390,-1039.13,-3989.3
42,1765,-1033.99,-3970.71
45,1338,-804.117,-3815.98
46,542,-782.879,-3846.13
47,2028,-822.53,-3854.27
48,4378,-796.222,-3877.73
49,3913,-798.577,-3907.29
50,1115,-872.302,-3878.82
51,2800,-880.765,-3909.34
52,1117,-897.552,-3889.37
53,988,-922.655,-3891.38
54,2404,-897.264,-3943.41
56,2404,-755.459,-3919.77
57,1130,-736.441,-3888.41
58,2904,-696.416,-3930.8
64,2400,-743.869,-4021.8
65,2400,-705.793,-4020.34
66,2907,-715.043,-3993.52
78,2160,-719.186,-4180.2
79,1130,-692.965,-4186.23
80,1130,-698.131,-4150.84
81,1130,-708.693,-4078.49
82,1220,-725.071,-4139.34
83,2595,-746.126,-4168.7
84,2860,-832.346,-4184.91
85,1220,-857.647,-4159.47
86,988,-888.168,-4122.74
87,1446,-910.457,-4085.12
88,1443,-917.164,-4029.07
89,1447,-920.414,-3986.84
90,2400,-888.865,-4027.38
